Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,asymmetric,0.9099999999999999,0.4701645615017557
100% Corpus,5,asymmetric,symmetric,0.3775427774588588
100% Corpus,6,0.01,0.01,0.4763488944887775
100% Corpus,6,0.01,0.31,0.4848990730182454
100% Corpus,6,0.01,0.61,0.4845084306426815
100% Corpus,6,0.01,0.9099999999999999,0.4929795728322048
100% Corpus,6,0.01,symmetric,0.48703131722020854
100% Corpus,6,0.31,0.01,0.48654923520388443
100% Corpus,6,0.31,0.31,0.49736896910536094
100% Corpus,6,0.31,0.61,0.49298519416525927
100% Corpus,6,0.31,0.9099999999999999,0.4966655857669812
100% Corpus,6,0.31,symmetric,0.491051934783388
100% Corpus,6,0.61,0.01,0.4790773357868865
100% Corpus,6,0.61,0.31,0.4842009663072145
100% Corpus,6,0.61,0.61,0.48805631669972627
100% Corpus,6,0.61,0.9099999999999999,0.4964439648381476
100% Corpus,6,0.61,symmetric,0.4855941839529622
100% Corpus,6,0.9099999999999999,0.01,0.4767865124245873
100% Corpus,6,0.9099999999999999,0.31,0.49023100296372407
100% Corpus,6,0.9099999999999999,0.61,0.49387833623824634
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.517590850421424
100% Corpus,6,0.9099999999999999,symmetric,0.47019330806258525
100% Corpus,6,symmetric,0.01,0.4816587314411695
100% Corpus,6,symmetric,0.31,0.49343750802891534
100% Corpus,6,symmetric,0.61,0.49839682314072403
100% Corpus,6,symmetric,0.9099999999999999,0.4934167110631571
100% Corpus,6,symmetric,symmetric,0.48476035818889246
100% Corpus,6,asymmetric,0.01,0.45328090950716854
100% Corpus,6,asymmetric,0.31,0.42585342399817133
100% Corpus,6,asymmetric,0.61,0.4339332887264071
100% Corpus,6,asymmetric,0.9099999999999999,0.4110904383786152
100% Corpus,6,asymmetric,symmetric,0.4251529525188527
100% Corpus,7,0.01,0.01,0.4697264480667983
100% Corpus,7,0.01,0.31,0.47079068792408635
100% Corpus,7,0.01,0.61,0.453279661925157
100% Corpus,7,0.01,0.9099999999999999,0.49401440675061714
100% Corpus,7,0.01,symmetric,0.4721396089051883
100% Corpus,7,0.31,0.01,0.4798628119292636
100% Corpus,7,0.31,0.31,0.47966303457531734
100% Corpus,7,0.31,0.61,0.468480224197595
100% Corpus,7,0.31,0.9099999999999999,0.4879834165224436
100% Corpus,7,0.31,symmetric,0.48382439230877583
100% Corpus,7,0.61,0.01,0.478117490143206
100% Corpus,7,0.61,0.31,0.4884274291718307
100% Corpus,7,0.61,0.61,0.470371943461659
100% Corpus,7,0.61,0.9099999999999999,0.47948882535929843
100% Corpus,7,0.61,symmetric,0.48712610028149994
100% Corpus,7,0.9099999999999999,0.01,0.4658641461848769
100% Corpus,7,0.9099999999999999,0.31,0.4826239668039989
100% Corpus,7,0.9099999999999999,0.61,0.4908092638722733
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4610861677731178
100% Corpus,7,0.9099999999999999,symmetric,0.45002336730865006
100% Corpus,7,symmetric,0.01,0.4665555210644085
